Time,ObjectName,X,Y
2.594238,star58,2,6.9464
2.592952,star58,2,6.896399
2.58463,star58,2,6.846399
2.583461,star58,2,6.796399
2.567467,star58,2,6.739199
2.566386,star58,2,6.689199
2.55104,star58,2,6.628399
2.539236,star58,2,6.578399
2.533767,star58,2,6.513999
2.532653,star58,2,6.463998
2.517543,star58,2,6.413998
2.516288,star58,2,6.363998
2.504257,star58,2,6.295998
2.485075,star58,2,6.224398
2.468261,star58,2,6.149198
2.451886,star58,2,6.070397
2.434722,star58,2,5.987997
2.418323,star58,2,5.937997
2.412298,star58,2,5.851997
2.41115,star58,2,5.801997
2.401907,star58,2,5.751997
2.40085,star58,2,5.701996
2.383949,star58,2,5.612396
2.382848,star58,2,5.562396
2.367393,star58,2,5.469196
2.351507,star58,2,5.372396
2.33495,star58,2,5.322395
2.318293,star58,2,5.221995
2.301617,star58,2,5.117995
2.284963,star58,2,5.010395
2.278631,star58,2,4.960395
2.273219,star58,2,4.849195
2.272148,star58,2,4.799194
2.266749,star58,2,4.749194
2.265861,star58,2,4.699194
2.255532,star58,2,4.649194
2.254544,star58,2,4.534394
2.25346,star58,2,4.484394
2.234952,star58,2,4.434393
2.229644,star58,2,4.315993
2.228646,star58,2,4.265993
2.223276,star58,2,4.215993
2.222333,star58,2,4.165993
2.221445,star58,2,4.115993
2.220457,star58,2,4.065992
2.219534,star58,2,4.015992
2.205812,star58,2,3.893992
2.204731,star58,2,3.843992
2.199259,star58,2,3.793992
2.18503,star58,2,3.668392
2.183943,star58,2,3.618392
2.16762,star58,2,3.489192
2.16654,star58,2,3.439193
2.150832,star58,2,3.306393
2.134879,star58,2,3.169993
2.118561,star58,2,3.119993
2.101912,star58,2,2.979993
2.085005,star58,2,2.836393
2.068218,star58,2,2.689193
2.051589,star58,2,2.538393
2.034996,star58,2,2.488393
2.028686,star58,2,2.333993
2.027643,star58,2,2.283993
2.018549,star58,2,2.233993
2.017439,star58,2,2.183993
2.005609,star58,2,2.025993
2.004632,star58,2,1.975993
1.998922,star58,2,1.925993
1.984992,star58,2,1.764394
1.983847,star58,2,1.714394
1.967254,star58,2,1.549194
1.966265,star58,2,1.499194
1.950996,star58,2,1.330394
1.934896,star58,2,1.157994
1.929046,star58,2,1.107994
1.923834,star58,2,1.057994
1.922868,star58,2,1.007994
1.921963,star58,2,0.9579942
1.921065,star58,2,0.9079942
1.920146,star58,2,0.8579941
1.91925,star58,2,0.8079941
1.905641,star58,2,0.6319942
1.900246,star58,2,0.5819942
1.884856,star58,2,0.4023942
1.883739,star58,2,0.3523942
1.867439,star58,2,0.1691942
1.851726,star58,2,-0.01760571
1.834861,star58,2,-0.2080057
1.828915,star58,2,-0.2580056
1.823637,star58,2,-0.3080057
1.822651,star58,2,-0.3580057
1.821757,star58,2,-0.4080057
1.820853,star58,2,-0.4580057
1.819951,star58,2,-0.5080057
1.819039,star58,2,-0.5580057
1.805542,star58,2,-0.7520056
1.804451,star58,2,-0.8020056
1.799034,star58,2,-0.8520057
1.798116,star58,2,-0.9020057
1.78932,star58,2,-1.099606
1.783951,star58,2,-1.149606
1.768229,star58,2,-1.350805
1.767146,star58,2,-1.400805
1.750688,star58,2,-1.605605
1.734715,star58,2,-1.814005
1.7184,star58,2,-1.864005
1.712537,star58,2,-2.076005
1.706931,star58,2,-2.126005
1.701705,star58,2,-2.176005
1.700745,star58,2,-2.226005
1.688888,star58,2,-2.441605
1.687757,star58,2,-2.491605
1.682354,star58,2,-2.541605
1.681404,star58,2,-2.591604
1.672232,star58,2,-2.810804
1.666653,star58,2,-2.860804
1.665762,star58,2,-2.910804
1.655343,star58,2,-2.960804
1.654363,star58,2,-3.183604
1.653329,star58,2,-3.233604
1.635041,star58,2,-3.283604
1.618508,star58,2,-3.510004
1.617442,star58,2,-3.560004
1.600908,star58,2,-3.790004
1.584772,star58,destroyed,destroyed
